127.0.0.1, 2016-03-10 16:28:23, GET, /, HTTP/1.1, 303, 0.829000
127.0.0.1, 2016-03-10 16:28:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.974000
127.0.0.1, 2016-03-10 16:28:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-03-10 16:28:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-03-10 16:28:35, GET, /welcome/default/get_messages, HTTP/1.1, 200, 0.015000
127.0.0.1, 2016-03-10 16:29:09, GET, /welcome/default/get_messages, HTTP/1.1, 200, 0.015000
127.0.0.1, 2016-03-10 16:29:22, GET, /welcome/default/get_messages, HTTP/1.1, 200, 0.019000
127.0.0.1, 2016-03-10 16:34:42, GET, /, HTTP/1.1, 303, 0.831000
127.0.0.1, 2016-03-10 16:34:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.084000
127.0.0.1, 2016-03-10 16:34:51, GET, /welcome/default/post_message, HTTP/1.1, 200, 0.015000
127.0.0.1, 2016-03-10 16:58:24, GET, /welcome/default/post_message, HTTP/1.1, 200, 0.017000
127.0.0.1, 2016-03-10 16:58:51, GET, /welcome/default/get_status, HTTP/1.1, 200, 0.015000
127.0.0.1, 2016-03-10 16:59:03, GET, /welcome/default/get_status, HTTP/1.1, 200, 0.016000
127.0.0.1, 2016-03-10 16:59:09, GET, /welcome/default/get_status, HTTP/1.1, 200, 0.016000
127.0.0.1, 2016-03-10 17:26:20, GET, /welcome/default/wipe_server, HTTP/1.1, 200, 0.021000
127.0.0.1, 2016-03-10 17:26:34, GET, /welcome/default/initialize_default_data, HTTP/1.1, 200, 0.038000
127.0.0.1, 2016-03-10 17:27:12, GET, /welcome/default/initialize_default_data, HTTP/1.1, 200, 0.054000
127.0.0.1, 2016-03-10 17:27:13, GET, /welcome/default/initialize_default_data, HTTP/1.1, 200, 0.043000
127.0.0.1, 2016-03-10 17:27:36, GET, /welcome/default/initialize_default_data, HTTP/1.1, 500, 2.387000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/default/ticket/welcome/127.0.0.1.2016-03-10.17-27-34.08a07b24-9774-4006-b337-62b76cf8ea59, HTTP/1.1, 303, 0.313000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/default/index, HTTP/1.1, 200, 0.091000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/static/_2.10.3/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/static/_2.10.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/static/_2.10.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/static/_2.10.3/js/web2py.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/static/_2.10.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/static/_2.10.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/static/_2.10.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/static/_2.10.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/static/_2.10.3/js/jquery.js, HTTP/1.1, 200, 0.038000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/static/_2.10.3/js/calendar.js, HTTP/1.1, 200, 0.042000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/static/_2.10.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/static/_2.10.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/static/_2.10.3/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-03-10 17:27:39, GET, /admin/static/_2.10.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.025000
127.0.0.1, 2016-03-10 17:27:42, POST, /admin/default/index, HTTP/1.1, 303, 0.036000
127.0.0.1, 2016-03-10 17:27:42, GET, /admin/default/ticket/welcome/127.0.0.1.2016-03-10.17-27-34.08a07b24-9774-4006-b337-62b76cf8ea59, HTTP/1.1, 200, 0.091000
127.0.0.1, 2016-03-10 17:27:43, GET, /admin/static/_2.10.3/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-03-10 17:29:00, GET, /welcome/default/initialize_default_data, HTTP/1.1, 200, 0.050000
127.0.0.1, 2016-03-10 17:29:52, GET, /welcome/default/get_messages, HTTP/1.1, 200, 0.022000
127.0.0.1, 2016-03-10 17:30:10, GET, /welcome/default/get_messages, HTTP/1.1, 200, 0.019000
127.0.0.1, 2016-03-10 17:30:17, GET, /welcome/default/wipe_server, HTTP/1.1, 200, 0.039000
127.0.0.1, 2016-03-10 17:30:25, GET, /welcome/default/initialize_default_data, HTTP/1.1, 200, 0.029000
127.0.0.1, 2016-03-10 17:30:47, GET, /welcome/default/get_messages, HTTP/1.1, 200, 0.016000
